"term","variable","value"
"forrWsRip","fishabund_score2",0.240504083055585
"agWs","fishabund_score2",0.0935974815522113
"agRipWs","fishabund_score2",0.140547236697966
"wetlandsWs","fishabund_score2",0.14397927865373
"wetlandsRipWS","fishabund_score2",0.149075237796985
"EcoII","fishabund_score2",-0.0772338679706719
"EcoIII","fishabund_score2",-0.0119189823754013
"tmean","fishabund_score2",-0.0935316367626757
"tmax","fishabund_score2",-0.0871236343944712
"tmin","fishabund_score2",-0.111537184108712
"ppt","fishabund_score2",0.268327532907696
"ppt.m01","fishabund_score2",0.0999293840627131
"ppt.m02","fishabund_score2",0.0779811326874761
"ppt.m03","fishabund_score2",0.128798201293835
"ppt.m04","fishabund_score2",0.172798704070171
"ppt.m05","fishabund_score2",0.198601288206486
"ppt.m06","fishabund_score2",0.143664525029352
"ppt.m07","fishabund_score2",0.117884599034309
"ppt.m08","fishabund_score2",0.0926771095791977
"ppt.m09","fishabund_score2",0.114754540472221
"ppt.m10","fishabund_score2",0.246589930819393
"ppt.m11","fishabund_score2",0.149038825936952
"ppt.m12","fishabund_score2",0.131471929846285
"fishabund_score2","bmiabund_score",0.39199797743444
"bmiabund_score","bmiabund_score",1
"algabund_score","bmiabund_score",0.640283600954477
"vegdiff_score","bmiabund_score",0.572942616979393
"rootedplants_score","bmiabund_score",0.50379134520598
"iofb_score","bmiabund_score",0.369639896053696
"mayfly_abundance","bmiabund_score",0.756338046391674
"perennial_abundance","bmiabund_score",0.647581732912587
"perennial_taxa","bmiabund_score",0.655972860261543
"perennial_live_abundance","bmiabund_score",0.650082248183272
"snake_score","bmiabund_score",0.108795622965878
"turt_score","bmiabund_score",0.0967969832234007
"vert_score","bmiabund_score",0.236822740163556
"vert_sumscore","bmiabund_score",0.236886632878036
"hydrophytes_present_noflag","bmiabund_score",0.606103005972241
"alglive_cover_score","bmiabund_score",0.670593588259955
"algdead_cover_score","bmiabund_score",0.18842194792047
"algdead_noupstream_cover_score","bmiabund_score",0.211049050619568
"alglivedead_cover_score","bmiabund_score",0.632966147032209
"moss_cover_score","bmiabund_score",0.244811357894231
"liverwort_cover_score","bmiabund_score",0.141614225487146
"PctShading","bmiabund_score",0.352942523429496
"TotalAbundance","bmiabund_score",0.828901913858818
"Richness","bmiabund_score",0.828885318965775
"EPT_abundance","bmiabund_score",0.773622424562914
"EPT_taxa","bmiabund_score",0.769643882906174
"EPT_relabd","bmiabund_score",0.716431696796265
"EPT_reltaxa","bmiabund_score",0.714496774472464
"GOLD_relabd","bmiabund_score",0.633311065384182
"GOLD_reltaxa","bmiabund_score",0.615894957181697
"OCH_relabd","bmiabund_score",0.490699897046462
"OCH_reltaxa","bmiabund_score",0.497489049112941
"GOLDOCH_relabd","bmiabund_score",0.602009071264639
"GOLDOCH_reltaxa","bmiabund_score",0.599888121951678
"Noninsect_abundance","bmiabund_score",0.430896777499688
"Noninsect_taxa","bmiabund_score",0.431486033482458
"Noninsect_relabund","bmiabund_score",0.398663260887563
"Noninsect_reltaxa","bmiabund_score",0.393211259052681
"waterinchannel_score","bmiabund_score",0.81111040443929
"hydric_score","bmiabund_score",0.376664224528928
"springs_score","bmiabund_score",0.145014101418747
"pctsurfaceflow","bmiabund_score",0.78576158636247
"pctsubsurfaceflow","bmiabund_score",0.780620389635149
"numberwoodyjams","bmiabund_score",0.0263319780190422
"SoilMoist_MaxScore","bmiabund_score",0.764273306609613
"sinuosity_score","bmiabund_score",0.0762074115871637
"floodplaindim_score","bmiabund_score",0.162350734153141
"riffpoolseq_score","bmiabund_score",0.501893928176112
"substratesorting_score","bmiabund_score",0.495428797896502
"seddep_score","bmiabund_score",0.0576096642326486
"BankWidthMean","bmiabund_score",-0.130098681013302
"valleyslope","bmiabund_score",0.271406309088864
"ElevCat","bmiabund_score",0.174731461768885
"ElevWs","bmiabund_score",0.254977274654723
"AgKffactCat","bmiabund_score",-0.170850480849792
"KffactCat","bmiabund_score",-0.18157639032713
"AgKffactWs","bmiabund_score",-0.094731513220451
"KffactWs","bmiabund_score",-0.205810821673431
"Al2O3Cat","bmiabund_score",0.146192744151812
"CaOCat","bmiabund_score",0.158971903912363
"Fe2O3Cat","bmiabund_score",-0.10741945194103
"K2OCat","bmiabund_score",-0.007505823318106
"MgOCat","bmiabund_score",0.258660596829932
"Na2OCat","bmiabund_score",0.13683823050531
"P2O5Cat","bmiabund_score",-0.0550474639569721
"SCat","bmiabund_score",-0.219024113849845
"SiO2Cat","bmiabund_score",0.0223937553163721
"Al2O3Ws","bmiabund_score",0.332999035753852
"CaOWs","bmiabund_score",-0.0292514826334204
"Fe2O3Ws","bmiabund_score",0.0820495160731636
"K2OWs","bmiabund_score",0.191334528520492
"MgOWs","bmiabund_score",0.0450391574531114
"Na2OWs","bmiabund_score",0.305129501860214
"P2O5Ws","bmiabund_score",0.0747362939527689
"SWs","bmiabund_score",-0.409589643427651
"SiO2Ws","bmiabund_score",0.145776613096903
"NCat","bmiabund_score",-0.286839417318435
"NWs","bmiabund_score",-0.331815311604415
"HydrlCondCat","bmiabund_score",-0.21936151740788
"HydrlCondWs","bmiabund_score",-0.197672092018904
"CompStrgthCat","bmiabund_score",0.332054305791356
"CompStrgthWs","bmiabund_score",0.371994451973673
"Precip8110Cat","bmiabund_score",0.369028112359287
"Tmax8110Cat","bmiabund_score",-0.220997924664346
"Tmean8110Cat","bmiabund_score",-0.229070304790318
"Tmin8110Cat","bmiabund_score",-0.229289617103041
"Precip8110Ws","bmiabund_score",0.453795132922786
"Tmax8110Ws","bmiabund_score",-0.286738196251024
"Tmean8110Ws","bmiabund_score",-0.281373479678278
"Tmin8110Ws","bmiabund_score",-0.269755550496628
"ClayCat","bmiabund_score",-0.11075131207662
"SandCat","bmiabund_score",0.122656034282599
"ClayWs","bmiabund_score",-0.0898069862116369
"SandWs","bmiabund_score",0.127438729717736
"OmCat","bmiabund_score",0.219186706103657
"PermCat","bmiabund_score",0.143252427586991
"RckDepCat","bmiabund_score",-0.121922135212051
"WtDepCat","bmiabund_score",-0.0701303389641344
"OmWs","bmiabund_score",0.145883233757615
"PermWs","bmiabund_score",0.205785108903829
"RckDepWs","bmiabund_score",0.0438755814063609
"WtDepWs","bmiabund_score",-0.142045627651065
"PctCarbResidCat","bmiabund_score",0.152215499451722
"PctNonCarbResidCat","bmiabund_score",-0.113876051029083
"PctAlkIntruVolCat","bmiabund_score",-0.0685052421091678
"PctSilicicCat","bmiabund_score",0.303708003823236
"PctEolCrsCat","bmiabund_score",-0.107502252273052
"PctEolFineCat","bmiabund_score",NA
"PctAlluvCoastCat","bmiabund_score",-0.224531121946328
"PctCarbResidWs","bmiabund_score",-0.034645194367629
"PctNonCarbResidWs","bmiabund_score",-0.215449139088931
"PctAlkIntruVolWs","bmiabund_score",-0.0685052421091678
"PctSilicicWs","bmiabund_score",0.37617239234469
"PctExtruVolWs","bmiabund_score",-0.0542981071738991
"PctEolCrsWs","bmiabund_score",-0.0844301968972804
"PctEolFineWs","bmiabund_score",-0.0485592412231006
"PctAlluvCoastWs","bmiabund_score",-0.264829268940087
"WetIndexCat","bmiabund_score",-0.304589656167359
"WetIndexWs","bmiabund_score",-0.300287760802421
"urb","bmiabund_score",-0.102628954845858
"urbRip","bmiabund_score",-0.078198658388981
"forr","bmiabund_score",0.272941671034994
"forrRip","bmiabund_score",0.315488712417799
"ag","bmiabund_score",-0.194312043949822
"agRip","bmiabund_score",-0.0964443532587249
"wetlands","bmiabund_score",0.193800512521669
"wetlandsRip","bmiabund_score",0.215696507679084
"urbWs","bmiabund_score",-0.0341292564988329
"urbRipWs","bmiabund_score",0.0298881888461339
"forrWs","bmiabund_score",0.331886046931305
"forrWsRip","bmiabund_score",0.361463849823649
"agWs","bmiabund_score",-0.0689056513820735
"agRipWs","bmiabund_score",0.0349816836600917
"wetlandsWs","bmiabund_score",0.255306648547914
"wetlandsRipWS","bmiabund_score",0.293924456193884
"EcoII","bmiabund_score",0.00104483902206422
"EcoIII","bmiabund_score",-0.107312047368884
"tmean","bmiabund_score",-0.19291283279989
"tmax","bmiabund_score",-0.186266739718518
"tmin","bmiabund_score",-0.183804464971343
"ppt","bmiabund_score",0.355259914750371
"ppt.m01","bmiabund_score",0.280104312987905
"ppt.m02","bmiabund_score",0.2663962117382
"ppt.m03","bmiabund_score",0.342590046759943
"ppt.m04","bmiabund_score",0.273808019596492
"ppt.m05","bmiabund_score",0.133605968080731
"ppt.m06","bmiabund_score",0.0513676097176801
"ppt.m07","bmiabund_score",-0.0105214464589728
"ppt.m08","bmiabund_score",-0.0415762499033649
"ppt.m09","bmiabund_score",0.0140250280387633
"ppt.m10","bmiabund_score",0.147535712418122
"ppt.m11","bmiabund_score",0.314275974531448
"ppt.m12","bmiabund_score",0.322414836151196
"fishabund_score2","algabund_score",0.341422938019683
"bmiabund_score","algabund_score",0.640283600954477
"algabund_score","algabund_score",1
"vegdiff_score","algabund_score",0.370798107967497
"rootedplants_score","algabund_score",0.349329834324417
"iofb_score","algabund_score",0.400320264809569
"mayfly_abundance","algabund_score",0.507762418034192
"perennial_abundance","algabund_score",0.556845784544194
"perennial_taxa","algabund_score",0.550522341479642
"perennial_live_abundance","algabund_score",0.552080119143661
"snake_score","algabund_score",0.0286148214609319
"turt_score","algabund_score",0.00737942196246647
"vert_score","algabund_score",0.193798957180071
"vert_sumscore","algabund_score",0.187888552167312
"hydrophytes_present_noflag","algabund_score",0.505894317776492
"alglive_cover_score","algabund_score",0.89901895399439
"algdead_cover_score","algabund_score",0.378509400155696
"algdead_noupstream_cover_score","algabund_score",0.398791100358056
"alglivedead_cover_score","algabund_score",0.905876536328872
"moss_cover_score","algabund_score",0.346238115536003
"liverwort_cover_score","algabund_score",0.121971442415059
"PctShading","algabund_score",0.190702226033784
"TotalAbundance","algabund_score",0.599146750302554
"Richness","algabund_score",0.602397887583522
"EPT_abundance","algabund_score",0.542575733684936
"EPT_taxa","algabund_score",0.526887016574236
"EPT_relabd","algabund_score",0.420238930121776
"EPT_reltaxa","algabund_score",0.425509208669991
"GOLD_relabd","algabund_score",0.558720467842772
"GOLD_reltaxa","algabund_score",0.541208833129149
"OCH_relabd","algabund_score",0.401526749842503
"OCH_reltaxa","algabund_score",0.385253297658695
"GOLDOCH_relabd","algabund_score",0.523956190101065
"GOLDOCH_reltaxa","algabund_score",0.493538509781687
"Noninsect_abundance","algabund_score",0.37995058637034
"Noninsect_taxa","algabund_score",0.391409689806667
"Noninsect_relabund","algabund_score",0.370046383626787
"Noninsect_reltaxa","algabund_score",0.382375576191145
"waterinchannel_score","algabund_score",0.529863624353151
"hydric_score","algabund_score",0.202598927189375
"springs_score","algabund_score",0.0924971614032632
"pctsurfaceflow","algabund_score",0.573461051767323
"pctsubsurfaceflow","algabund_score",0.562898572538046
"numberwoodyjams","algabund_score",0.19497313417299
"SoilMoist_MaxScore","algabund_score",0.56909609349556
"sinuosity_score","algabund_score",0.0188650566034387
"floodplaindim_score","algabund_score",0.171274128146292
"riffpoolseq_score","algabund_score",0.342898761704184
"substratesorting_score","algabund_score",0.342985933018568
"seddep_score","algabund_score",-0.000862469408984534
"BankWidthMean","algabund_score",-0.0388674148318053
"valleyslope","algabund_score",0.180089300637185
"ElevCat","algabund_score",0.0329284970424126
"ElevWs","algabund_score",0.0474091535346185
"AgKffactCat","algabund_score",-0.182506192046112
"KffactCat","algabund_score",0.00960658014396203
"AgKffactWs","algabund_score",-0.0109836001834728
"KffactWs","algabund_score",0.0270661421121913
"Al2O3Cat","algabund_score",0.0947342688386438
"CaOCat","algabund_score",0.0102034003420166
"Fe2O3Cat","algabund_score",0.0120986073353932
"K2OCat","algabund_score",-0.0428594976025066
"MgOCat","algabund_score",0.115848149807668
"Na2OCat","algabund_score",0.0550653261286565
"P2O5Cat","algabund_score",-0.130065273706797
"SCat","algabund_score",-0.125335776254632
"SiO2Cat","algabund_score",-0.0446851557153922
"Al2O3Ws","algabund_score",0.212144370587336
"CaOWs","algabund_score",-0.0808042076503241
"Fe2O3Ws","algabund_score",0.166085624482249
"K2OWs","algabund_score",0.0962266718991774
"MgOWs","algabund_score",0.0575951666565124
"Na2OWs","algabund_score",0.185860689501823
"P2O5Ws","algabund_score",0.00316157619231472
"SWs","algabund_score",-0.250955543771269
"SiO2Ws","algabund_score",0.0392487515570216
"NCat","algabund_score",-0.126619532673693
"NWs","algabund_score",-0.127312123608582
"HydrlCondCat","algabund_score",-0.150425534891718
"HydrlCondWs","algabund_score",-0.125521239935941
"CompStrgthCat","algabund_score",0.172029155894199
"CompStrgthWs","algabund_score",0.147492890431019
"Precip8110Cat","algabund_score",0.286628323723051
"Tmax8110Cat","algabund_score",-0.11688558727499
"Tmean8110Cat","algabund_score",-0.093699729241342
"Tmin8110Cat","algabund_score",-0.070476198897428
"Precip8110Ws","algabund_score",0.25575151865512
"Tmax8110Ws","algabund_score",-0.108661432156943
"Tmean8110Ws","algabund_score",-0.0994027374415944
"Tmin8110Ws","algabund_score",-0.0891008095188823
"ClayCat","algabund_score",-0.034707789234971
"SandCat","algabund_score",0.02530709888862
"ClayWs","algabund_score",-0.0291062064854345
"SandWs","algabund_score",0.0221860928765916
"OmCat","algabund_score",0.200383325083445
"PermCat","algabund_score",-0.0163736661907226
"RckDepCat","algabund_score",-0.161281501884472
"WtDepCat","algabund_score",-0.0980994458337483
"OmWs","algabund_score",0.0914943137594675
"PermWs","algabund_score",0.0801828937668915
"RckDepWs","algabund_score",-0.0634502686251934
"WtDepWs","algabund_score",-0.114330745658202
"PctCarbResidCat","algabund_score",-0.00261205487612588
"PctNonCarbResidCat","algabund_score",-0.0518131604666423
"PctAlkIntruVolCat","algabund_score",-0.0321743443024669
"PctSilicicCat","algabund_score",0.176743733127264
"PctEolCrsCat","algabund_score",-0.0843568168815772
"PctEolFineCat","algabund_score",NA
"PctAlluvCoastCat","algabund_score",-0.152049392095118
"PctCarbResidWs","algabund_score",-0.0410435176239789
"PctNonCarbResidWs","algabund_score",-0.159775755894954
"PctAlkIntruVolWs","algabund_score",-0.0321743443024669
"PctSilicicWs","algabund_score",0.254006270471161
"PctExtruVolWs","algabund_score",-0.0664052175359652
"PctEolCrsWs","algabund_score",-0.10098975384146
"PctEolFineWs","algabund_score",-0.119756516098633
"PctAlluvCoastWs","algabund_score",-0.147375004776712
"WetIndexCat","algabund_score",-0.17005860428029
"WetIndexWs","algabund_score",-0.166163866972801
"urb","algabund_score",-0.0893062389857594
"urbRip","algabund_score",-0.0701551755017657
"forr","algabund_score",0.171161119795351
"forrRip","algabund_score",0.183794461030115
"ag","algabund_score",-0.170112740188876
"agRip","algabund_score",-0.110967080739272
"wetlands","algabund_score",0.168727171145495
"wetlandsRip","algabund_score",0.193380612454269
"urbWs","algabund_score",0.0314283270478166
"urbRipWs","algabund_score",0.0519504368418665
"forrWs","algabund_score",0.216207472895983
"forrWsRip","algabund_score",0.216381046420702
"agWs","algabund_score",0.00398118727408065
"agRipWs","algabund_score",0.0886463044550451
"wetlandsWs","algabund_score",0.256482274608845
"wetlandsRipWS","algabund_score",0.296893472850306
"EcoII","algabund_score",-0.0538461810341139
"EcoIII","algabund_score",-0.0397786948931746
"tmean","algabund_score",-0.075645456373708
"tmax","algabund_score",-0.099308035590894
"tmin","algabund_score",-0.0468093922007897
"ppt","algabund_score",0.29533075157261
"ppt.m01","algabund_score",0.210885789970871
"ppt.m02","algabund_score",0.220957206858728
"ppt.m03","algabund_score",0.285930982600489
"ppt.m04","algabund_score",0.271700294385374
"ppt.m05","algabund_score",0.128441157772363
"ppt.m06","algabund_score",0.0125318073670335
"ppt.m07","algabund_score",-0.0736260187900632
"ppt.m08","algabund_score",-0.116429591195592
"ppt.m09","algabund_score",-0.066729934342638
"ppt.m10","algabund_score",0.0790237835688875
"ppt.m11","algabund_score",0.223045723795546
"ppt.m12","algabund_score",0.204626689620829
"fishabund_score2","vegdiff_score",0.367679666545002
"bmiabund_score","vegdiff_score",0.572942616979393
"algabund_score","vegdiff_score",0.370798107967497
"vegdiff_score","vegdiff_score",1
"rootedplants_score","vegdiff_score",0.374532333097669
"iofb_score","vegdiff_score",0.352391401304292
"mayfly_abundance","vegdiff_score",0.495141186545409
"perennial_abundance","vegdiff_score",0.441096251555811
"perennial_taxa","vegdiff_score",0.427572900464648
"perennial_live_abundance","vegdiff_score",0.465356084750333
"snake_score","vegdiff_score",0.145436430145132
"turt_score","vegdiff_score",0.0568140161400082
"vert_score","vegdiff_score",0.144591198627924
"vert_sumscore","vegdiff_score",0.146371184845505
"hydrophytes_present_noflag","vegdiff_score",0.518158523141162
"alglive_cover_score","vegdiff_score",0.392395125379217
"algdead_cover_score","vegdiff_score",-0.0343677020479655
"algdead_noupstream_cover_score","vegdiff_score",-0.00953977124596261
"alglivedead_cover_score","vegdiff_score",0.350241748042537
"moss_cover_score","vegdiff_score",0.129420651029909
"liverwort_cover_score","vegdiff_score",0.110195299671977
"PctShading","vegdiff_score",0.395536261199111
"TotalAbundance","vegdiff_score",0.573896125317807
"Richness","vegdiff_score",0.523953009382055
"EPT_abundance","vegdiff_score",0.507455527055567
"EPT_taxa","vegdiff_score",0.466107235182316
"EPT_relabd","vegdiff_score",0.455593102765337
"EPT_reltaxa","vegdiff_score",0.447448012400999
"GOLD_relabd","vegdiff_score",0.422409862496429
"GOLD_reltaxa","vegdiff_score",0.422622119666
"OCH_relabd","vegdiff_score",0.339459371902332
"OCH_reltaxa","vegdiff_score",0.343252284315328
"GOLDOCH_relabd","vegdiff_score",0.409576468049089
"GOLDOCH_reltaxa","vegdiff_score",0.434835978994462
"Noninsect_abundance","vegdiff_score",0.351821222910122
"Noninsect_taxa","vegdiff_score",0.338385138376311
"Noninsect_relabund","vegdiff_score",0.310684253762421
"Noninsect_reltaxa","vegdiff_score",0.311886092317888
"waterinchannel_score","vegdiff_score",0.59298776856091
"hydric_score","vegdiff_score",0.45939815750729
"springs_score","vegdiff_score",0.043810651867924
"pctsurfaceflow","vegdiff_score",0.510248535876726
"pctsubsurfaceflow","vegdiff_score",0.52215566602062
"numberwoodyjams","vegdiff_score",0.00530260335740993
"SoilMoist_MaxScore","vegdiff_score",0.51263650737861
"sinuosity_score","vegdiff_score",0.044257013573444
"floodplaindim_score","vegdiff_score",0.10692292817917
"riffpoolseq_score","vegdiff_score",0.286875972652889
"substratesorting_score","vegdiff_score",0.334157082219208
"seddep_score","vegdiff_score",0.132800383845341
"BankWidthMean","vegdiff_score",-0.0783057315158937
"valleyslope","vegdiff_score",0.16183335319521
"ElevCat","vegdiff_score",0.115043108679632
"ElevWs","vegdiff_score",0.180537143763426
"AgKffactCat","vegdiff_score",-0.0386044496793366
"KffactCat","vegdiff_score",-0.0291047928995417
"AgKffactWs","vegdiff_score",0.026233940649099
"KffactWs","vegdiff_score",-0.0865734907028563
"Al2O3Cat","vegdiff_score",-0.0164499375857498
"CaOCat","vegdiff_score",0.184306722093455
"Fe2O3Cat","vegdiff_score",-0.000402616077971974
"K2OCat","vegdiff_score",-0.140865129680411
"MgOCat","vegdiff_score",0.18560601194508
"Na2OCat","vegdiff_score",-0.0290688808295765
"P2O5Cat","vegdiff_score",-0.133806561285116
"SCat","vegdiff_score",-0.0390537595632814
"SiO2Cat","vegdiff_score",-0.122355708495815
"Al2O3Ws","vegdiff_score",0.163518084467458
"CaOWs","vegdiff_score",-0.0548363098197828
"Fe2O3Ws","vegdiff_score",0.129750196327856
"K2OWs","vegdiff_score",0.071939986732138
"MgOWs","vegdiff_score",0.0552921531080629
"Na2OWs","vegdiff_score",0.142044317108777
"P2O5Ws","vegdiff_score",-0.0896851197687197
"SWs","vegdiff_score",-0.290870326730918
"SiO2Ws","vegdiff_score",0.00309127259866617
"NCat","vegdiff_score",-0.068749083714177
"NWs","vegdiff_score",-0.119672511176178
"HydrlCondCat","vegdiff_score",-0.0325409327019857
"HydrlCondWs","vegdiff_score",0.00381461673875141
"CompStrgthCat","vegdiff_score",0.119402280723844
"CompStrgthWs","vegdiff_score",0.157518422505543
"Precip8110Cat","vegdiff_score",0.254348271657935
"Tmax8110Cat","vegdiff_score",-0.168065598948145
"Tmean8110Cat","vegdiff_score",-0.147945713451661
"Tmin8110Cat","vegdiff_score",-0.155536732521763
"Precip8110Ws","vegdiff_score",0.349062680400644
"Tmax8110Ws","vegdiff_score",-0.194534535274207
"Tmean8110Ws","vegdiff_score",-0.189804137558103
"Tmin8110Ws","vegdiff_score",-0.186105528841818
"ClayCat","vegdiff_score",0.0732938685943352
"SandCat","vegdiff_score",-0.0475073324004286
"ClayWs","vegdiff_score",0.0115912486447999
"SandWs","vegdiff_score",0.0291589576470211
"OmCat","vegdiff_score",0.125045209905125
"PermCat","vegdiff_score",0.0331556700720343
"RckDepCat","vegdiff_score",-0.0516519996110341
"WtDepCat","vegdiff_score",-0.0925795391858669
"OmWs","vegdiff_score",-0.0124358193263866
"PermWs","vegdiff_score",0.079967288129106
"RckDepWs","vegdiff_score",0.077703036477016
"WtDepWs","vegdiff_score",-0.152903802131753
"PctCarbResidCat","vegdiff_score",0.198348265527819
"PctNonCarbResidCat","vegdiff_score",-0.0308284865339748
