globalid,sitecode,sitename,assessor,collection,weathernow,cloudynow,weather48,cloudy48,totalrain,weathernot,disturbed,disturbed_,bankfullwi,bankfull_1,bankfull_2,reachlengt,reachlen_1,reachlen_2,valleyslop,s_landuse,landuse_no,riparian,erosion,floodplain,ancillaryn,hi_reachle,hi_reach_1,pools_obse,hi_seepssp,channelsco,hi_channel,hi_notes,hydricsoil,locations,hydricnote,woodyjams1,trees_shru,woodyjamsn,streambeds,hi_streamb,streambedn,debrisscor,hi_debriss,debrisnote,locationon,locationtw,locationth,soiltextur,location_1,location_2,location_3,sinuosityi,sinscoreno,si_sinuosi,sinuositym,sinuosityc,fpimage,FPScorenot,gi_dimensi,dimensionm,seqscoreno,gi_sequenc,seqnotes,gisubstrat,gi_substra,ginotes,abundscore,abundances,abundanc_1,abundancea,mosquitofi,abundancen,observedfu,observedsn,obsnakesab,observedtu,obturtlesa,observedam,obampiabun,observedvo,observedab,streambedl,streambedd,streambe_1,streambeda,d_note,d_upper,u_upstream,u_left,u_right,u_downstre,d_middle,m_upstream,m_left,m_right,m_downstre,d_lower,l_upstream,l_left,l_right,l_downstre,bryophytem,bryophytel,bryophtyen,Vegediffsc,vegetation,vegenotes,hydrovegen,regionalin,additional,CreationDa,Creator,EditDate,Editor,site_upstr,site_midst,site_middo,site_downs,pnw_mayabu,pnw_maygre,pnw_indica,pnw_indi_1,pnw_indi_2,pnw_indi_3,pnw_indi_4,pnw_int,pnw_eph,pnw_per,pnw_final,pnw_F_eph,pnw_F_int,pnw_F_per,nm_calc,nm_score,nm_status_,nm_status1,nm_statu_1,nm_statu_2,nm_statu_3,MERGE_SRC,latitude,longitude
{7192F109-8617-4231-871C-DAD86552E24B},USGS9419696,"Duck Ck at Broadbent Blvd Las Vegas, NV",Matt robinson and emma haines,6/22/2019 7:00,clearsunny,,,0,0,,"steammods,diversions,discharges,vegetation","Channelization and bridge where gauge is. Reach starts where concrete ends, 20 meters below gauge. Effluent pouring into concrete section. Stream downcutting and possible channelization with clay at 100meter reach mark.",15.5,14.4,20.5,588,150,200,6.6,"urban,developed",Residential upstream of reach. Open and grated lot on right bank.,yes,yes,no,"Floodplain connectivity in first 70meters of reach. Large cascade and downcutting for rest of reach and visible channel.
See photo for site sketch.",100,,,notdectected,,6,Flow may be see due to effluent,notdectected,3,,0,no,,,3,,,1,,,,,,,,,,,0.5,visual estimate,Channelized lower section,,,2,visual estimate,,3,,,3,,,3,3,3,yes,,notdectected,notdectected,,present,1,present,Greater than 100. Tadpoles,notdectected,,>40%,<2%,no,,,,,,,,,,,,,,,,,,notdetected,notdetected,,,2,,,aridwest,"High salt concentration as seen on banks. 
Excessive garbage buildup.
Very warm water.",6/25/2019 2:15,,6/25/2019 2:25,,,,,,0,,,,,,,,,,,,,,,0,,,,,,FlowDuration003,36.09188763,-115.0198027
{F71F10BB-4019-4382-A0DA-08C66DC3167C},USGS9404343,Truxton Wash near Valentine,Matt robinson and emma haines,6/23/2019 7:00,clearsunny,,,0,0,,,None,5.8,4.6,4.1,169.1666667,150,200,2,forested,A few buildings and train tracks within 200 meters. ,yes,yes,yes,See photo for site sketch,0,50,3,notdectected,,2,,notdectected,3,,1,yes,,,2,Small aspens,,0,,saturated,saturated,dry,,sandyclayloam,sandyloam,sandyclayloam,,,2,visual estimate,,,,1,"visual estimate
3/4 reach confined with high banks. 1/4 slightly unconfined",,3,,,3,,,0,2,2,,,present,notdectected,,notdectected,,present,1,present,See photo for amphibian,2-10%,2-10%,no,,,,4,17,10,9,,15,13,16,16,,12,16,14,4,notdetected,notdetected,,,3,,,aridwest,Long pools,6/25/2019 2:15,,6/25/2019 2:37,,,,,,0,,,,,,,,,,,,,,,0,,,,,,FlowDuration003,35.38319171,-113.6588376
{D8E6CC6B-7EE4-41EC-B53A-436FDC0ECADB},AZ_BIGSANDY.E,Big Sandy River at I-40,Matt robinson and emma haines,6/23/2019 7:00,clearsunny,,,0,0,,,None,16,17.5,19.7,620.6666667,150,150,1,"agricultural,other_natural",Cow patties and prints in channel. ,yes,yes,yes,See photo for site sketch,0,0,0,notdectected,,0,,notdectected,3,,0,yes,,,1,,,0,,dry,dry,dry,,sandyloam,sandyloam,sandyloam,,,0.5,visual estimate,Braided channel,,,3,visual estimate,,0,,,0,,,0,0,0,,,notdectected,notdectected,,notdectected,,notdectected,,notdectected,,notdetected,notdetected,,,,,,,,,,,,,,,,,2,,notdetected,notdetected,,,1.5,Willows in channel,,aridwest,"Demsiometer readings is """"0"""" where left blank.",6/25/2019 2:15,,6/25/2019 2:37,,,,,,0,,,,,,,,,,,,,,,0,,,,,,FlowDuration003,35.16058005,-113.6364497
{06A7512C-EC2C-4C45-BDCA-E19DBEB59AB0},AZ.LEE.PI,Lee Canyon,Matt robinson and emma haines,6/27/2019 7:00,clearsunny,,,0,0,,,None,1.5,1,1,40.83333333,40.83333333,40.83333333,6,forested,,yes,yes,no,"See photo for site sketch.
No evidence of erosion. Small deposits from upstream.",0,0,5,notdectected,,2,,notdectected,3,2 locations assessed at downstream section due to lack of soil. Majority bedrock banks.,0,yes,,,2,,,0,,saturated,dry,saturated,,sand,notneeded,sand,,,0.5,visual estimate,Bedrock banks,,,0.5,visual estimate,,3,,,2,Bedrock lines channel bottom and banks. Sorting occurs in patches,,0,2,0,,,notdectected,present,Greater than 10.,notdectected,,present,Greater than 100,notdectected,,<2%,notdetected,,Bulbous algae,,,,,10,,,,,2,,,,7,7,,notdetected,notdetected,,,2.5,,,aridwest,Large woody debris on canyon walls and 100 meters upstream,6/30/2019 2:14,,6/30/2019 2:14,,,,,,0,,,,,,,,,,,,,,,0,,,,,,FlowDuration003,35.05034808,-112.053128
{E189DBDB-47EA-44A7-B41D-426B1B1738E2},USGS9512500,Agua Fria River near Mayer,Matt robinson and emma haines,6/27/2019 7:00,clearsunny,,,0,0,,diversions,Concrete barrier less than 100 meter upstream,10.7,9.7,8.4,336,150,200,1,other_natural,,yes,yes,yes,See photo for site sketch,100,,,notdectected,,6,,notdectected,3,,0,yes,,,3,,,0,,,,,,,,,,,1,visual estimate,,,,3,visual estimate,,2.5,,,3,,,3,3,3,no,Crawdads found,notdectected,notdectected,,present,1,present,Greater than 100,notdectected,,10-40%,10-40%,no,,,,12,2,12,,,,5,13,7,,,10,,2,notdetected,notdetected,,,3,,,westmountains,"Densiometer ""0"" where blank.
Aquatic plant in additional photos should be in hydrophytic plants.",6/30/2019 2:16,,6/30/2019 2:31,,,,,,0,,,,,,,,,,,,,,,0,,,,,,FlowDuration003,34.31410878,-112.0610994
{1EA475D3-3DE8-4D02-BABB-807C24F4DC57},AZ_TANGLE.I,Tangle Creek,Matt robinson and emma haines,6/26/2019 7:00,clearsunny,,,0,0,,other,"Road crosses channel 100 meters up. Large pool at crossing.
",2,2,1.5,64.16666667,64.16666667,64.16666667,2,other_natural,Road crossing,yes,yes,yes,See photo for site sketch,100,,,present,,6,,notdectected,3,Bedrock less than 15 cm below surface,0,yes,,,3,,,0,,,,,,,,,,,1,visual estimate,Bedrock lines right bank,,,2,"visual estimate.
Bedrock bank on right bank.",,3,,,3,,,3,3,3,no,,present,notdectected,,notdectected,,present,Greater than 10 tadpoles. 2 kinds of tadpoles,notdectected,,10-40%,2-10%,no,,,,17,17,17,17,,17,16,17,16,,1,14,,3,notdetected,notdetected,,,3,,,aridwest,,6/30/2019 2:16,,6/30/2019 2:31,,,,,,0,,,,,,,,,,,,,,,0,,,,,,FlowDuration003,34.13337533,-111.7726015
{8DDA4AE4-81E4-4E55-B9D6-A7EC9495A960},USGS9513780,New River near Rock Springs,Matt robinson and emma haines,6/26/2019 7:00,clearsunny,,,0,0,,other,Dirt road following channel 100 meter on left bank,31.4,30,24,996.3333333,150,200,1.5,other_natural,,yes,yes,yes,See photo for site sketch,100,,,notdectected,,6,,notdectected,3,,0,yes,,,2,,,0,,,,,,,,,,,0.5,visual estimate,Braided system. Mulitple flowing channels,,,1.5,"visual estimate.
Channel in small canyon",,2,,,3,Bank substrate is bedrock,,0,3,3,,,present,present,1,notdectected,,present,Tadpoles and 1 frog in pool below reach,notdectected,Snake skin found,>40%,>40%,no,,,,8,,,,,,,,,,,,,,notdetected,notdetected,,,3,,,aridwest,"Sample reach began ~350 meters above USGS gauge. Characteristic reach not present near gauge.
Densiometer readings ""0"" where left blank.
Dirt road across and above channel.
Dried salts and water mark seen on rocks.
",6/30/2019 2:16,,6/30/2019 2:37,,,,,,0,,,,,,,,,,,,,,,0,,,,,,FlowDuration003,33.97519212,-112.0960998
{A80CD7EC-27C9-4EB3-AC7E-2DC537105A18},Bullard Wash,AZ_BVBUW.E,Matt robinson and emma haines,6/25/2019 7:00,clearsunny,,,0,0,,other,Dirt road through channel cross downstream. Tire tracks in channel,20.3,18.6,23.3,725.6666667,150,200,1,other_natural,,no,yes,yes,See photo for site sketch,0,0,0,notdectected,,0,,notdectected,3,,0,no,,,2,,,0,,dry,dry,dry,,loamysand,loamysand,loamysand,,,1,visual estimate,Large braided system. Meandering within braidedness,,,3,visual estimate,,0,Sandy bottom,,1,Gravel on sides,,,0,0,,,notdectected,notdectected,,notdectected,,notdectected,,notdectected,,notdetected,notdetected,,,,,,,,,,,,,,,,,,,notdetected,notdetected,,,0.5,More of one plant in stream channel,,aridwest,"Very large sandy braided system. Braided full width is greater than 50m, main channel to one side is less than 50m.
Densiometer all ""0""",6/30/2019 2:16,,6/30/2019 2:16,,,,,,0,,,,,,,,,,,,,,,0,,,,,,FlowDuration003,34.21059966,-113.4634793
{F5A4BC1D-0264-47A9-BF2A-E838FFC093A0},AZ_BWIVW.E,Ives Wash,Matt robinson and emma haines,6/25/2019 7:00,,,,0,0,,,None,5.1,6.3,5,191.3333333,150,200,23.7,other_natural,Natural,no,yes,no,"See photos for site sketch.
20 meters of downstream has some floodplain connectivity",10,50,3,present,,2,,notdectected,3,,0,yes,,,1.5,,,0,,,,,,,,,,,2,visual estimate,Partial canyon,,,1,"visual estimate.
Floodplain broadens at downstream. Canyon upstream",,3,,,3,,,0,2,2,,,notdectected,notdectected,,notdectected,,present,Greater than 10 tadpoles,notdectected,,2-10%,2-10%,no,,,,,,,,,,,,,,,,,,notdetected,notdetected,,,1,,,aridwest,"Densiometer all ""0"", but upstream and mid channelized by cliffs. No vegetation growth on cliffs.
Soil moisture: partial, partial, dry
Texture: Loamy sand, sandy loam, loamy sand.",6/30/2019 2:16,,6/30/2019 2:42,,,,,,0,,,,,,,,,,,,,,,0,,,,,,FlowDuration003,34.22962352,-113.6123128
{A8040277-D9A6-464C-8AA1-A116ED2FC39C},BB1,Bootlegger's Bottom downstream of trail crossing,Raphael Mazor and Julie Kelso,7/27/2019 7:00,steadyrain,,,0,0,,,,1,1,1,35,35,35,13,forested,,yes,yes,yes, See photo of site skech,30,100,0,present,,2," Flowing water in top and bottom of reach, but with an intervening dry area that has no clear channel/banks formed. Reach ends at a seep where flow resurfaces. Flow is evident where surface water is visible.",notdectected,3, Sandy,0,yes,,,1," Rooted plants abundant in dry, swale-y section. Mostly aspens and grass there.",,0,,,,,,,,,,,0.5,visual estimate,,,,3,visual estimate,,0.5,"It would be higher if we only considered the reaches with clear channel formation, but that wasn't the majority of the reach. ",,0,,,0,1,1,, It took some effort to find bugs. Water was too shallow to sample adequately with a net. Algae was restricted to a very small still area near top of reach.,notdectected,notdectected,,notdectected,,notdectected,,notdectected,,<2%,notdetected,, Algae barely noticeable in a small portion of still water near top of reach,,,11,10,6,14,,17,15,17,12,,15,4,14,16,notdetected,notdetected," Pleurocarps were abundant, but not in streamer form",,1.5,"Middle, channel-free portion of the reach characterized by upland veg with no distinction from surrounding lands. ",,westmountains,,7/29/2019 21:02,raphaelmazor,7/29/2019 21:02,raphaelmazor,,,,,0,,,,,,,,,,,,,,,0,,,,,,FlowDuration003,39.86825,-105.45023
{3913632E-4F21-4217-8FDC-5293276BB2AF},BB1,Bootlegger's Bottom near trail crossing,Raphael Mazor and Julie Kelsu,7/27/2019 7:00,steadyrain,,,0,0,,other, Trail crossing upstream of site,1,1,1,35,35,35,13,forested,,yes,yes,yes, See additional photos for site sketch,30,100,0,present,,2," There is a dry, swale-y area in bottom half of reach that discharges again near the bottom. Flow is evident where surface water is present.",notdectected,3, ,0,yes,,,1," Upland plants (grasses, aspen) in swale-y area",,0,,,,,,,,,,,0.5,visual estimate,,,,3,visual estimate,,0.5," Absent from swale-y area, but weak in other portions of reach",,0.5, Weakest in swaley area,,0,1,1,," Bugs took effort to find. Water was too shallow to sample with a net. Algae was evident only in a small backwater patch, near top of reach",notdectected,notdectected,,notdectected,,notdectected,,notdectected,,<2%,notdetected,,,,,11,10,6,14,,17,15,17,12,,15,4,14,16,notdetected,notdetected," Pleurocarps detected, but not streamer mosses",,1.5,,,westmountains," No mayflies, no midges noted in stream",7/30/2019 22:21,raphaelmazor,7/30/2019 22:21,raphaelmazor,,,,,0,,,,,,,,,,,,,,,0,,,,,,FlowDuration003,39.85355,-105.44511
{9076BD8E-DCDC-45DE-8457-1211F00126D1},CD_MISSION.I1,Mission Creek at Mission Creek Preserve (ABL site),Raphael Mazor,6/20/2019 7:00,clearsunny,,,0,0,,other," I suspect that the winter storms caused the stream to move to a new or previously abandoned channel. Riparian vegetation was very sparse near the active channel. Older channels nearby were evident, lined with desert willow.",8,10,15,385,150,150,5,other_natural, Desert scrub,yes,yes,yes,,100,,,notdectected,,6, Water was very warm,0,3,,0,yes,,,3,,,1.5,,,,,,,,,,,1.5,visual estimate, Possibly a new channel,,,1.5,visual estimate,,0.5, Nearly all riffle-run,,1.5,,,0,3,2,," Algae was not heavy, but widespread throughout the channel",notdectected,notdectected,,notdectected,,notdectected,,notdectected,,2-10%,2-10%,no,,,,0,0,0,0,,0,0,0,0,,0,0,0,0,notdetected,notdetected,,,2, Dessert willows sparsely growing along the stream channel,,aridwest,,6/26/2019 23:46,,6/26/2019 23:46,,,,,,33,no,yes,no,,yes,,yes,no,no,intermittent,,,,22.5,22.5,,,,,,FlowDuration004,34.00754,-116.62183
{D03B5D74-2808-4E12-8915-956250367862},CC_SMAS.I,Arroyo Seco at Dripping Springs Campground,"Raphael Mazor (trainer) and Mike Klinefelter, Katharina Zimmerman, and Kelsey Trammel",4/24/2019 7:00,clearsunny,,,0,0,,,,4,,,NaN,150,150,2.5,other_natural,,yes,yes,yes, Steeper at upstream end,100,,,notdectected,,6,,0,3, Very sandy,0,yes,,,3,,,0,,,,,,,,,,,1,visual estimate,,,,3,visual estimate,,1.5,,,2.5,,,0,3,3,,,notdectected,notdectected,,notdectected,,present,Abundant (dozens) tadpoles in a few spots,present,,2-10%,notdetected,,,,,0,0,0,0,,2,2,0,0,,9,8,0,12,notdetected,notdetected,,,2,,,aridwest,,6/28/2019 23:30,raphaelmazor,6/28/2019 23:30,raphaelmazor,,,, Last is actually looking upstream,46,no,yes,no,,yes,,yes,no,no,intermittent,,,,25,25,,,,,,FlowDuration004,33.45768,-116.97079
{C4B26978-8955-4CB6-8D75-80412FBE9D97},CC_SMRCOTTON.I,Cottonwood Creek (Santa Margarita),Raphael Mazor and Marcus Beck,4/26/2019 7:00,clearsunny,,,0,0,,,,2,,,NaN,150,150,15,other_natural,,no,no,yes,,100,,,notdectected,,6,,0,3, Very hard to dig due to cobbles and boulders,0,no,,,3,,,0.5,,,,,,,,,,,1,visual estimate, Confined within a canyon,,,2,visual estimate,,3,,,3,,,0,3,3,,,notdectected,notdectected,,notdectected,,present,Tadpoles (10+) and adult frogs (3) abundant. Psuedacris cadaverina.,present,,>40%,10-40%,no,,,,11,17,17,5,,0,8,8,9,,15,2,0,1,<2%,notdetected," Tiny bryophyte on cascade--possibly too small to be a ""streamer"" moss. See photo.
Liverworts noted outside channel.",,0,,,aridwest,,6/28/2019 23:53,raphaelmazor,6/28/2019 23:53,raphaelmazor,,,,,0,no,no,no,,yes,,yes,no,no,intermittent,,,,24.5,24.5,,,,,,FlowDuration004,33.42009,-116.86157
{7852F5B8-CC32-4CF1-8CD5-7571BCE472F8},CC_CHINON.E,Agua Chinon in Irvine,Raphael Mazor and Abel Santana,5/13/2019 7:00,clearsunny,,,0,0,,steammods, Site enters a culvert which locally pools water,2,,,NaN,150,150,3,other_natural,,yes,yes,yes,,0,0,0,notdectected,,0,,0,3,,1,yes, Jam had diverted flow outside channel,,2,,,1.5, Lots of burial evident,partiallydry,partiallydry,partiallydry,,loamysand,loamysand,loamysand,,,1.5,visual estimate,,,,3,visual estimate,,2,,,1.5,,,0,0,0,,,notdectected,notdectected,,notdectected,,notdectected,,present,,notdetected,notdetected,,,,,,,,,,,,,,,,,,,notdetected,notdetected,,,1.5,,,aridwest,,7/1/2019 17:00,raphaelmazor,7/1/2019 17:00,raphaelmazor,,,, ,0,,,,,,,no,no,no,perennial,,,,13,13,,,,,,FlowDuration004,33.69335,-117.68461
