OBJECTID,globalid,aquaticinv,aquatici_1,taxon,ai_abundan,ai_abundgr,ai_selectm,ai_notes,parentglob,CreationDa,Creator,EditDate,Editor,ai_abund_1,MERGE_SRC
66,,,,Trichoptera,1,,,Either silky case or pupating,{F5A4BC1D-0264-47A9-BF2A-E838FFC093A0},6/30/2019 2:16,,6/30/2019 2:16,,,aquaticinvertebratesdata_3
67,,,,Hydropsychidae,4,,perennialindicator,,{1EA475D3-3DE8-4D02-BABB-807C24F4DC57},6/30/2019 2:31,,6/30/2019 2:31,,,aquaticinvertebratesdata_3
68,,,,Dytiscidae,4,,,Sample taken,{1EA475D3-3DE8-4D02-BABB-807C24F4DC57},6/30/2019 2:31,,6/30/2019 2:31,,,aquaticinvertebratesdata_3
69,,,,Helicopsychidae,9,,,Greater than 10.,{1EA475D3-3DE8-4D02-BABB-807C24F4DC57},6/30/2019 2:31,,6/30/2019 2:31,,,aquaticinvertebratesdata_3
70,,,,Elmidae,9,,,Greater than 10. Sample adult,{1EA475D3-3DE8-4D02-BABB-807C24F4DC57},6/30/2019 2:31,,6/30/2019 2:31,,,aquaticinvertebratesdata_3
71,,,,Leptohyphidae,9,,mayfly,Greater than 10,{1EA475D3-3DE8-4D02-BABB-807C24F4DC57},6/30/2019 2:31,,6/30/2019 2:31,,,aquaticinvertebratesdata_3
72,,,,Calopterygidae,9,,perennialindicator,Greater than 10. Most abundant sample,{1EA475D3-3DE8-4D02-BABB-807C24F4DC57},6/30/2019 2:31,,6/30/2019 2:31,,,aquaticinvertebratesdata_3
73,,,,Coenagrionidae,2,,,,{1EA475D3-3DE8-4D02-BABB-807C24F4DC57},6/30/2019 2:31,,6/30/2019 2:31,,,aquaticinvertebratesdata_3
74,,,,Simuliidae,9,,,Greater than 10,{1EA475D3-3DE8-4D02-BABB-807C24F4DC57},6/30/2019 2:31,,6/30/2019 2:31,,,aquaticinvertebratesdata_3
75,,,,Baetidae,9,,mayfly,Greater than 10. Small sample taken,{1EA475D3-3DE8-4D02-BABB-807C24F4DC57},6/30/2019 2:31,,6/30/2019 2:31,,,aquaticinvertebratesdata_3
76,,,,Snail,3,,,,{1EA475D3-3DE8-4D02-BABB-807C24F4DC57},6/30/2019 2:31,,6/30/2019 2:31,,,aquaticinvertebratesdata_3
77,,,,Hydrophilidae,3,,,Sample taken,{1EA475D3-3DE8-4D02-BABB-807C24F4DC57},6/30/2019 2:31,,6/30/2019 2:31,,,aquaticinvertebratesdata_3
78,,,,Acariformes,9,,,Greater than 10.,{1EA475D3-3DE8-4D02-BABB-807C24F4DC57},6/30/2019 2:31,,6/30/2019 2:31,,,aquaticinvertebratesdata_3
79,,,,Gerridae,9,,,"Greater than 10. Seen, not sampled",{1EA475D3-3DE8-4D02-BABB-807C24F4DC57},6/30/2019 2:31,,6/30/2019 2:31,,,aquaticinvertebratesdata_3
80,,,,Baetidae,9,,mayfly,Greater than 10,{8DDA4AE4-81E4-4E55-B9D6-A7EC9495A960},6/30/2019 2:37,,6/30/2019 2:37,,,aquaticinvertebratesdata_3
81,,,,Hydrophilidae,9,,,Greater than 10. 3 larvae. Sample taken,{8DDA4AE4-81E4-4E55-B9D6-A7EC9495A960},6/30/2019 2:37,,6/30/2019 2:37,,,aquaticinvertebratesdata_3
82,,,,Dytiscidae,9,,,Greater than 10. ID needed,{8DDA4AE4-81E4-4E55-B9D6-A7EC9495A960},6/30/2019 2:37,,6/30/2019 2:37,,,aquaticinvertebratesdata_3
83,,,,Snail,9,,,Greater than 10,{8DDA4AE4-81E4-4E55-B9D6-A7EC9495A960},6/30/2019 2:37,,6/30/2019 2:37,,,aquaticinvertebratesdata_3
84,,,,Aegmidae,2,,,,{8DDA4AE4-81E4-4E55-B9D6-A7EC9495A960},6/30/2019 2:37,,6/30/2019 2:37,,,aquaticinvertebratesdata_3
85,,,,Veliidae,3,,,,{8DDA4AE4-81E4-4E55-B9D6-A7EC9495A960},6/30/2019 2:37,,6/30/2019 2:37,,,aquaticinvertebratesdata_3
86,,,,Gyrinidae,2,,,Seen not sampled,{8DDA4AE4-81E4-4E55-B9D6-A7EC9495A960},6/30/2019 2:37,,6/30/2019 2:37,,,aquaticinvertebratesdata_3
87,,,,Coleoptera,1,,,Unknown family. Sample taken,{8DDA4AE4-81E4-4E55-B9D6-A7EC9495A960},6/30/2019 2:37,,6/30/2019 2:37,,,aquaticinvertebratesdata_3
88,,,,Dytiscidae,9,,, More than 10,{A8040277-D9A6-464C-8AA1-A116ED2FC39C},7/29/2019 21:02,raphaelmazor,7/29/2019 21:02,raphaelmazor,,aquaticinvertebratesdata_3
89,,,,Large dytiscid,1,,,,{A8040277-D9A6-464C-8AA1-A116ED2FC39C},7/29/2019 21:02,raphaelmazor,7/29/2019 21:02,raphaelmazor,,aquaticinvertebratesdata_3
90,,,,Putative caddis,1,,, Definitely not a perennial indicator family,{A8040277-D9A6-464C-8AA1-A116ED2FC39C},7/29/2019 21:02,raphaelmazor,7/29/2019 21:02,raphaelmazor,,aquaticinvertebratesdata_3
91,,,,Small dytiscidae,9,,, More than 10 individuals,{3913632E-4F21-4217-8FDC-5293276BB2AF},7/30/2019 22:21,raphaelmazor,7/30/2019 22:21,raphaelmazor,,aquaticinvertebratesdata_3
92,,,,Large dystiscidae,1,,,,{3913632E-4F21-4217-8FDC-5293276BB2AF},7/30/2019 22:21,raphaelmazor,7/30/2019 22:21,raphaelmazor,,aquaticinvertebratesdata_3
93,,,,"Caddis pupa, possibly",1,,, Not sure if this is a pupal case. Definitely not one of the perennial indicator families,{3913632E-4F21-4217-8FDC-5293276BB2AF},7/30/2019 22:21,raphaelmazor,7/30/2019 22:21,raphaelmazor,,aquaticinvertebratesdata_3
94,,,,Baetis adonis,10,,mayfly,ID from ABL,{9076BD8E-DCDC-45DE-8457-1211F00126D1},6/26/2019 23:46,,7/24/2019 21:09,raphaelmazor,,aquaticinvertebratesdata_4
95,,,,Leptohyphidae,10,,mayfly," Definitely a mayfly, but not 100% confident about family. Update-not present in ABL sample.",{9076BD8E-DCDC-45DE-8457-1211F00126D1},6/26/2019 23:46,,7/24/2019 21:09,raphaelmazor,,aquaticinvertebratesdata_4
96,,,,Simulium,10,,, The most abundant bug in the stream. ID from ABL.,{9076BD8E-DCDC-45DE-8457-1211F00126D1},6/26/2019 23:46,,7/24/2019 21:09,raphaelmazor,,aquaticinvertebratesdata_4
97,,,,Thienemannimyia group,1,,,ID from ABL.,{9076BD8E-DCDC-45DE-8457-1211F00126D1},6/26/2019 23:46,,7/24/2019 21:10,raphaelmazor,,aquaticinvertebratesdata_4
98,,,,Muscidae,1,,,ID from ABL. Field ID was incorrect (Ephydridae),{9076BD8E-DCDC-45DE-8457-1211F00126D1},6/26/2019 23:46,,7/24/2019 21:10,raphaelmazor,,aquaticinvertebratesdata_4
99,,,,Agabus,1,,,ID from ABL.,{9076BD8E-DCDC-45DE-8457-1211F00126D1},6/26/2019 23:46,,7/24/2019 21:10,raphaelmazor,,aquaticinvertebratesdata_4
100,,,,Baetidae,10,,mayfly,,{D03B5D74-2808-4E12-8915-956250367862},6/28/2019 23:30,raphaelmazor,6/28/2019 23:30,raphaelmazor,,aquaticinvertebratesdata_4
101,,,,Corydalidae (O-D group),1,,perennialindicator,,{D03B5D74-2808-4E12-8915-956250367862},6/28/2019 23:30,raphaelmazor,6/28/2019 23:30,raphaelmazor,,aquaticinvertebratesdata_4
102,,,,Corydalidae (N-P),1,,perennialindicator,,{D03B5D74-2808-4E12-8915-956250367862},6/28/2019 23:30,raphaelmazor,6/28/2019 23:30,raphaelmazor,,aquaticinvertebratesdata_4
103,,,,Dytiscidae,1,,,,{D03B5D74-2808-4E12-8915-956250367862},6/28/2019 23:30,raphaelmazor,6/28/2019 23:30,raphaelmazor,,aquaticinvertebratesdata_4
104,,,,Simuliidae,10,,,,{D03B5D74-2808-4E12-8915-956250367862},6/28/2019 23:30,raphaelmazor,6/28/2019 23:30,raphaelmazor,,aquaticinvertebratesdata_4
105,,,,Chironomidae,8,,,,{D03B5D74-2808-4E12-8915-956250367862},6/28/2019 23:30,raphaelmazor,6/28/2019 23:30,raphaelmazor,,aquaticinvertebratesdata_4
106,,,,Blephariceridae,10,,,,{D03B5D74-2808-4E12-8915-956250367862},6/28/2019 23:30,raphaelmazor,6/28/2019 23:30,raphaelmazor,,aquaticinvertebratesdata_4
107,,,,Rhyacophilidae,3,,perennialindicator, Pupae only,{D03B5D74-2808-4E12-8915-956250367862},6/28/2019 23:30,raphaelmazor,6/28/2019 23:30,raphaelmazor,,aquaticinvertebratesdata_4
108,,,,Plecoptera,2,,,Probably Leuctridae,{D03B5D74-2808-4E12-8915-956250367862},6/28/2019 23:30,raphaelmazor,6/28/2019 23:30,raphaelmazor,,aquaticinvertebratesdata_4
109,,,,Rhyacophila rayneri,10,,perennialindicator,"ID From ABL. Originally mis-IDed as Hydropsychidae, and mis-entered as Hydrophilidae.",{C4B26978-8955-4CB6-8D75-80412FBE9D97},6/28/2019 23:53,raphaelmazor,7/24/2019 21:12,raphaelmazor,,aquaticinvertebratesdata_4
110,,,,Gerridae,10,,,,{C4B26978-8955-4CB6-8D75-80412FBE9D97},6/28/2019 23:53,raphaelmazor,6/28/2019 23:53,raphaelmazor,,aquaticinvertebratesdata_4
111,,,,Tipulidae,10,,, Swarming adults,{C4B26978-8955-4CB6-8D75-80412FBE9D97},6/28/2019 23:53,raphaelmazor,6/28/2019 23:53,raphaelmazor,,aquaticinvertebratesdata_4
112,,,,Neohermes,1,,perennialindicator,ID from ABL,{C4B26978-8955-4CB6-8D75-80412FBE9D97},6/28/2019 23:53,raphaelmazor,7/24/2019 21:13,raphaelmazor,,aquaticinvertebratesdata_4
113,,,,Lepidostoma,1,,, Pupal case,{C4B26978-8955-4CB6-8D75-80412FBE9D97},6/28/2019 23:53,raphaelmazor,6/28/2019 23:53,raphaelmazor,,aquaticinvertebratesdata_4
114,,,,Rhyacophilidae,1,,perennialindicator,,{C4B26978-8955-4CB6-8D75-80412FBE9D97},6/28/2019 23:53,raphaelmazor,6/28/2019 23:53,raphaelmazor,,aquaticinvertebratesdata_4
115,,,,Baetis adonis,10,,mayfly,ID from ABL,{C4B26978-8955-4CB6-8D75-80412FBE9D97},6/28/2019 23:53,raphaelmazor,7/24/2019 21:13,raphaelmazor,,aquaticinvertebratesdata_4
116,,,,Argia,1,,,ID from ABL,{C4B26978-8955-4CB6-8D75-80412FBE9D97},6/28/2019 23:53,raphaelmazor,7/24/2019 21:13,raphaelmazor,,aquaticinvertebratesdata_4
117,,,,Taenionema,1,,,ID from ABL. Field ID was incorrect (Capniidae),{C4B26978-8955-4CB6-8D75-80412FBE9D97},6/28/2019 23:53,raphaelmazor,7/24/2019 21:14,raphaelmazor,,aquaticinvertebratesdata_4
118,,,,Chironomidae,10,,,,{C4B26978-8955-4CB6-8D75-80412FBE9D97},6/28/2019 23:53,raphaelmazor,6/28/2019 23:53,raphaelmazor,,aquaticinvertebratesdata_4
119,,,,Simulium,10,,,ID from ABL,{C4B26978-8955-4CB6-8D75-80412FBE9D97},6/28/2019 23:53,raphaelmazor,7/24/2019 21:14,raphaelmazor,,aquaticinvertebratesdata_4
120,,,,Leptohyphidae,3,,mayfly,,{C4B26978-8955-4CB6-8D75-80412FBE9D97},6/28/2019 23:53,raphaelmazor,6/28/2019 23:53,raphaelmazor,,aquaticinvertebratesdata_4
121,,,,Abedus,2,,,,{C4B26978-8955-4CB6-8D75-80412FBE9D97},6/28/2019 23:53,raphaelmazor,6/28/2019 23:53,raphaelmazor,,aquaticinvertebratesdata_4
122,,,,Isoperla denningi,1,,,ID from ABL. Field ID was incorrect (Perlidae),{C4B26978-8955-4CB6-8D75-80412FBE9D97},6/28/2019 23:53,raphaelmazor,7/24/2019 21:15,raphaelmazor,,aquaticinvertebratesdata_4
123,,,,,0,,,,{7852F5B8-CC32-4CF1-8CD5-7571BCE472F8},7/1/2019 17:00,raphaelmazor,7/1/2019 17:00,raphaelmazor,,aquaticinvertebratesdata_4
124,,,,Amphipoda,10,,,Greater than 10,{A5C2D30D-6800-49D8-AA65-686E826F6D9E},7/6/2019 1:15,,7/6/2019 1:15,,,aquaticinvertebratesdata_4
125,,,,Diptera,10,,,Greater than 10. Sample taken,{A5C2D30D-6800-49D8-AA65-686E826F6D9E},7/6/2019 1:15,,7/6/2019 1:15,,,aquaticinvertebratesdata_4
126,,,,Baetidae,10,,mayfly,Greater than 10,{A5C2D30D-6800-49D8-AA65-686E826F6D9E},7/6/2019 1:15,,7/6/2019 1:15,,,aquaticinvertebratesdata_4
127,,,,Limnephilidae,5,,,,{D8F05F1B-69EB-4422-B537-BA81DAA58ABE},7/6/2019 1:16,,7/6/2019 1:16,,,aquaticinvertebratesdata_4
128,,,,Hydropsychidae,10,,perennialindicator,,{D8F05F1B-69EB-4422-B537-BA81DAA58ABE},7/6/2019 1:16,,7/6/2019 1:16,,,aquaticinvertebratesdata_4
129,,,,Belostomatidae,10,,,,{D8F05F1B-69EB-4422-B537-BA81DAA58ABE},7/6/2019 1:16,,7/6/2019 1:16,,,aquaticinvertebratesdata_4
130,,,,Naucoridae,2,,,,{D8F05F1B-69EB-4422-B537-BA81DAA58ABE},7/6/2019 1:16,,7/6/2019 1:16,,,aquaticinvertebratesdata_4
131,,,,Leach,1,,,,{D8F05F1B-69EB-4422-B537-BA81DAA58ABE},7/6/2019 1:16,,7/6/2019 1:16,,,aquaticinvertebratesdata_4
132,,,,Elmidae,5,,,Adult,{D8F05F1B-69EB-4422-B537-BA81DAA58ABE},7/6/2019 1:16,,7/6/2019 1:16,,,aquaticinvertebratesdata_4
133,,,,Psephenidae,2,,,Sample taken,{D8F05F1B-69EB-4422-B537-BA81DAA58ABE},7/6/2019 1:16,,7/6/2019 1:16,,,aquaticinvertebratesdata_4
134,,,,Philopotamidae,3,,,Sample taken,{D8F05F1B-69EB-4422-B537-BA81DAA58ABE},7/6/2019 1:16,,7/6/2019 1:16,,,aquaticinvertebratesdata_4
135,,,,Baetidae,10,,mayfly,Greater than 10,{D8F05F1B-69EB-4422-B537-BA81DAA58ABE},7/6/2019 1:16,,7/6/2019 1:16,,,aquaticinvertebratesdata_4
136,,,,Lestidae,6,,,,{D8F05F1B-69EB-4422-B537-BA81DAA58ABE},7/6/2019 1:16,,7/6/2019 1:16,,,aquaticinvertebratesdata_4
137,,,,Glossosomatidae,3,,perennialindicator,Sample taken,{D8F05F1B-69EB-4422-B537-BA81DAA58ABE},7/6/2019 1:16,,7/6/2019 1:16,,,aquaticinvertebratesdata_4
138,,,,Corixidae,3,,,,{D8F05F1B-69EB-4422-B537-BA81DAA58ABE},7/6/2019 1:16,,7/6/2019 1:16,,,aquaticinvertebratesdata_4
139,,,,Amphipoda,10,,,Greater than 10,{D8F05F1B-69EB-4422-B537-BA81DAA58ABE},7/6/2019 1:16,,7/6/2019 1:16,,,aquaticinvertebratesdata_4
140,,,,Dytiscidae,10,,,"Greater than 10, sample taken",{D8F05F1B-69EB-4422-B537-BA81DAA58ABE},7/6/2019 1:16,,7/6/2019 1:16,,,aquaticinvertebratesdata_4
141,,,,Cullicidae,10,,,Greater than 10,{D8F05F1B-69EB-4422-B537-BA81DAA58ABE},7/6/2019 1:16,,7/6/2019 1:16,,,aquaticinvertebratesdata_4
142,,,,Coenagrionidae,3,,,,{D8F05F1B-69EB-4422-B537-BA81DAA58ABE},7/6/2019 1:16,,7/6/2019 1:16,,,aquaticinvertebratesdata_4
