globalid,aquaticinv,aquatici_1,taxon,ai_abundan,ai_abundgr,ai_selectm,ai_notes,parentglob,CreationDa,Creator,EditDate,Editor,ai_abund_1,MERGE_SRC
{8B952610-C8B8-4114-8C92-2C0E82DCB673},,,Naucoridae,2,,,,{94C24C07-5D79-4B5C-A38D-526D0FF60B1A},6/22/2019 0:43,,6/22/2019 0:43,,,aquaticinvertebratesdata_3
{CED263FF-FD1E-441F-8A6C-8CFC0D01EFB6},,,Elmidae,2,,perennialindicator,Adult sample taken,{94C24C07-5D79-4B5C-A38D-526D0FF60B1A},6/22/2019 0:43,,6/22/2019 0:43,,,aquaticinvertebratesdata_3
{EB853EA3-FD6E-490C-A4DB-D8DFEA050E64},,,Odonata,6,,deadmaterial,Exuvium. Sample taken,{94C24C07-5D79-4B5C-A38D-526D0FF60B1A},6/22/2019 0:43,,6/22/2019 0:43,,,aquaticinvertebratesdata_3
{2CDFBE4B-889E-4DB5-902A-B7B3B75BCC77},,,Amphipoda,9,,,Greater than 10,{7192F109-8617-4231-871C-DAD86552E24B},6/25/2019 2:15,,6/25/2019 2:15,,,aquaticinvertebratesdata_3
{3457B428-8DC5-4173-959A-CCEC0D1088E6},,,Athericidae,9,,,Greater than 10,{7192F109-8617-4231-871C-DAD86552E24B},6/25/2019 2:15,,6/25/2019 2:15,,,aquaticinvertebratesdata_3
{B54DD121-70D8-4F43-A0D1-05315EE7EF09},,,Snail,9,,,"Greater than 10.
Unknown family. Sample taken",{7192F109-8617-4231-871C-DAD86552E24B},6/25/2019 2:15,,6/25/2019 2:15,,,aquaticinvertebratesdata_3
{7FA5250A-A9E8-40C9-AF73-5B03AE1CE47D},,,Baetidae,9,,mayfly,Greater than 10,{7192F109-8617-4231-871C-DAD86552E24B},6/25/2019 2:15,,6/25/2019 2:15,,,aquaticinvertebratesdata_3
{8BA1C40F-5159-4EE1-8E97-A6BF9A8C6653},,,Chironomidae,9,,,Greater than 10,{7192F109-8617-4231-871C-DAD86552E24B},6/25/2019 2:15,,6/25/2019 2:15,,,aquaticinvertebratesdata_3
{D7430CDF-5119-4BDD-8A39-3D88682FC07F},,,Haliplidae,5,,,,{7192F109-8617-4231-871C-DAD86552E24B},6/25/2019 2:15,,6/25/2019 2:15,,,aquaticinvertebratesdata_3
{D88F869C-EEC0-46B4-8934-9F25781FC5DC},,,Acariformes,9,,,Greater than 10,{7192F109-8617-4231-871C-DAD86552E24B},6/25/2019 2:15,,6/25/2019 2:15,,,aquaticinvertebratesdata_3
{71192998-F287-412B-90F9-848CAA68CD15},,,Culicidae,1,,,Pupa.,{7192F109-8617-4231-871C-DAD86552E24B},6/25/2019 2:15,,6/25/2019 2:15,,,aquaticinvertebratesdata_3
{E1F77E28-9A54-4D30-A552-8CE49CBE39A7},,,Planorbidae,1,,,Unsure of id. Sample taken,{7192F109-8617-4231-871C-DAD86552E24B},6/25/2019 2:15,,6/25/2019 2:15,,,aquaticinvertebratesdata_3
{F9D47363-11E3-49D8-A2F1-6FA446DD1E72},,,Soenagrionidae,6,,,,{7192F109-8617-4231-871C-DAD86552E24B},6/25/2019 2:15,,6/25/2019 2:15,,,aquaticinvertebratesdata_3
{24720E22-C4D5-4FCA-93A0-F94C8C93914A},,,Dytiscidae,9,,,Greater than 10.,{F71F10BB-4019-4382-A0DA-08C66DC3167C},6/25/2019 2:15,,6/25/2019 2:15,,,aquaticinvertebratesdata_3
{FDBB0C3D-D669-470B-8F6A-8F18BD9DAD3A},,,Coenagrionidae,1,,,,{F71F10BB-4019-4382-A0DA-08C66DC3167C},6/25/2019 2:15,,6/25/2019 2:15,,,aquaticinvertebratesdata_3
{AD7EFB50-5368-4C4D-9D10-ACF0D26F593C},,,Hydrophilidae,6,,,Larvae,{F71F10BB-4019-4382-A0DA-08C66DC3167C},6/25/2019 2:15,,6/25/2019 2:15,,,aquaticinvertebratesdata_3
{9877DFE3-F9BC-4C42-AAC4-4D615FE9D5F7},,,Coleoptera,9,,,Greater than 10. Small unknown family. Sample taken,{F71F10BB-4019-4382-A0DA-08C66DC3167C},6/25/2019 2:15,,6/25/2019 2:15,,,aquaticinvertebratesdata_3
{BDA97176-C604-4291-AE1C-3D164DC28064},,,Veliidae,9,,,Greater than 10,{F71F10BB-4019-4382-A0DA-08C66DC3167C},6/25/2019 2:15,,6/25/2019 2:15,,,aquaticinvertebratesdata_3
{88563EE2-8D5E-446F-9829-2300FE6B76F5},,,Acariformes,9,,,Greater than 10,{06A7512C-EC2C-4C45-BDCA-E19DBEB59AB0},6/30/2019 2:14,,6/30/2019 2:14,,,aquaticinvertebratesdata_3
{571B5A58-0FF9-487B-A7A7-17A381508661},,,Lestidae,2,,,,{06A7512C-EC2C-4C45-BDCA-E19DBEB59AB0},6/30/2019 2:14,,6/30/2019 2:14,,,aquaticinvertebratesdata_3
{53B173BE-32C5-4DE9-A230-2D3AFE008D92},,,Baetidae,9,,mayfly,Greater than 10,{06A7512C-EC2C-4C45-BDCA-E19DBEB59AB0},6/30/2019 2:14,,6/30/2019 2:14,,,aquaticinvertebratesdata_3
{5013C0D1-942A-4C3B-B621-FA0EBD749776},,,Amphipoda,9,,,Greater than 10,{06A7512C-EC2C-4C45-BDCA-E19DBEB59AB0},6/30/2019 2:14,,6/30/2019 2:14,,,aquaticinvertebratesdata_3
{2D1F0553-9029-4DAD-B7CF-AF07A535842C},,,Snail,4,,,Sample taken,{06A7512C-EC2C-4C45-BDCA-E19DBEB59AB0},6/30/2019 2:14,,6/30/2019 2:14,,,aquaticinvertebratesdata_3
{C066A44E-AFE5-40DC-80C5-F71D71A6C217},,,Haliplidae,1,,,Larvae sample taken,{06A7512C-EC2C-4C45-BDCA-E19DBEB59AB0},6/30/2019 2:14,,6/30/2019 2:14,,,aquaticinvertebratesdata_3
{DA813E71-B624-49E9-B77E-DA22DCD74225},,,Libellulidae,1,,,,{06A7512C-EC2C-4C45-BDCA-E19DBEB59AB0},6/30/2019 2:14,,6/30/2019 2:14,,,aquaticinvertebratesdata_3
{61F83A3C-ABE9-4A66-B0AE-8AD95F391201},,,Corixidae,1,,,,{06A7512C-EC2C-4C45-BDCA-E19DBEB59AB0},6/30/2019 2:14,,6/30/2019 2:14,,,aquaticinvertebratesdata_3
{AC4A9748-4BBD-4052-974B-2B1B089B9F44},,,Lepidostomatidae,9,,,Greater than 10. Sample taken,{06A7512C-EC2C-4C45-BDCA-E19DBEB59AB0},6/30/2019 2:14,,6/30/2019 2:14,,,aquaticinvertebratesdata_3
{092217D1-2672-4C83-9B66-9853AE8ACF65},,,Limnephilidae,9,,,Greater than 10. Sample taken,{06A7512C-EC2C-4C45-BDCA-E19DBEB59AB0},6/30/2019 2:14,,6/30/2019 2:14,,,aquaticinvertebratesdata_3
{DC8E36F1-3117-489B-8C56-A34ACDCFC424},,,Leeches,5,,,,{06A7512C-EC2C-4C45-BDCA-E19DBEB59AB0},6/30/2019 2:14,,6/30/2019 2:14,,,aquaticinvertebratesdata_3
{E32B4F68-377F-4566-9F91-655BD4366C91},,,Culicidae,9,,,Greater than 10.,{06A7512C-EC2C-4C45-BDCA-E19DBEB59AB0},6/30/2019 2:14,,6/30/2019 2:14,,,aquaticinvertebratesdata_3
{FB8CC5FE-692E-49DB-8F13-96E90F9B1201},,,Dytiscidae,5,,,2 species,{06A7512C-EC2C-4C45-BDCA-E19DBEB59AB0},6/30/2019 2:14,,6/30/2019 2:14,,,aquaticinvertebratesdata_3
{77A9BDE1-F63B-47F0-8C13-97F9E84A127B},,,Libellulidae,3,,,,{E189DBDB-47EA-44A7-B41D-426B1B1738E2},6/30/2019 2:16,,6/30/2019 2:16,,,aquaticinvertebratesdata_3
{77275CFB-B9AE-40F1-830D-3885D3ACDE7F},,,Dytiscidae,9,,,Greater than 10. 3 species,{E189DBDB-47EA-44A7-B41D-426B1B1738E2},6/30/2019 2:16,,6/30/2019 2:16,,,aquaticinvertebratesdata_3
{112779FE-7C7A-454B-B87C-73FFBF8AB7C6},,,Coenagrionidae,9,,,Greater than 10,{E189DBDB-47EA-44A7-B41D-426B1B1738E2},6/30/2019 2:16,,6/30/2019 2:16,,,aquaticinvertebratesdata_3
{5B6185C5-E801-4A3D-B824-5777BD185BEE},,,Baetidae,9,,,Greater than 10,{E189DBDB-47EA-44A7-B41D-426B1B1738E2},6/30/2019 2:16,,6/30/2019 2:16,,,aquaticinvertebratesdata_3
{B3AC5372-B7E6-4F32-B15F-AB52AD67B960},,,Leptohyphidae,9,,,Greater than 10,{E189DBDB-47EA-44A7-B41D-426B1B1738E2},6/30/2019 2:16,,6/30/2019 2:16,,,aquaticinvertebratesdata_3
{75B3327C-EA9F-492B-9D75-DC0888A8DEE1},,,Amphipoda,2,,,,{E189DBDB-47EA-44A7-B41D-426B1B1738E2},6/30/2019 2:16,,6/30/2019 2:16,,,aquaticinvertebratesdata_3
{C2E0E2D1-5C73-402F-B8CF-DBE4C2389689},,,Dixidae,1,,,,{E189DBDB-47EA-44A7-B41D-426B1B1738E2},6/30/2019 2:16,,6/30/2019 2:16,,,aquaticinvertebratesdata_3
{D0CBE87E-C0BE-416B-9B7D-D1BAF79ED18E},,,Calopterygidae,1,,perennialindicator,,{E189DBDB-47EA-44A7-B41D-426B1B1738E2},6/30/2019 2:16,,6/30/2019 2:16,,,aquaticinvertebratesdata_3
{2CEB3F9B-C334-4C85-A9CC-11D2C30CFFFC},,,Corixidae,1,,,,{E189DBDB-47EA-44A7-B41D-426B1B1738E2},6/30/2019 2:16,,6/30/2019 2:16,,,aquaticinvertebratesdata_3
{988CA255-3B96-4653-8AD7-8B21CAA4D7E2},,,Tabanidae,1,,,,{E189DBDB-47EA-44A7-B41D-426B1B1738E2},6/30/2019 2:16,,6/30/2019 2:16,,,aquaticinvertebratesdata_3
{04B092E7-F354-48E7-A73F-D303DEEF3D88},,,Hydrophilidae,9,,,"Greater than 10. Observed, not captured",{E189DBDB-47EA-44A7-B41D-426B1B1738E2},6/30/2019 2:16,,6/30/2019 2:16,,,aquaticinvertebratesdata_3
{19984E05-30CB-499F-8938-9807BB2CA5CB},,,Gerridae,9,,,"Greater than 10. Observed, not captured",{E189DBDB-47EA-44A7-B41D-426B1B1738E2},6/30/2019 2:16,,6/30/2019 2:16,,,aquaticinvertebratesdata_3
{2578BA98-01D3-4819-AC86-D1FE5C738840},,,Libellulidae,3,,,Saw many more. Only sampled 3. Sample taken,{8DDA4AE4-81E4-4E55-B9D6-A7EC9495A960},6/30/2019 2:16,,6/30/2019 2:16,,,aquaticinvertebratesdata_3
{AFE58FAB-4C44-4B7F-8264-CE2674FBF3E5},,,Chironomidae,9,,,Greater than 10,{8DDA4AE4-81E4-4E55-B9D6-A7EC9495A960},6/30/2019 2:16,,6/30/2019 2:16,,,aquaticinvertebratesdata_3
{DB095B61-7CE2-4CE0-BDD0-6B331367B002},,,Lestidae,,,,Greater than 10,{8DDA4AE4-81E4-4E55-B9D6-A7EC9495A960},6/30/2019 2:16,,6/30/2019 2:16,,,aquaticinvertebratesdata_3
{0560F6F5-B9A0-4B61-8761-06E23D576B98},,,Coenagrionidae,4,,,,{8DDA4AE4-81E4-4E55-B9D6-A7EC9495A960},6/30/2019 2:16,,6/30/2019 2:16,,,aquaticinvertebratesdata_3
{E363BE9B-31E9-4385-B06B-6B75DF5C7702},,,Coenagrionidae,3,,,,{F5A4BC1D-0264-47A9-BF2A-E838FFC093A0},6/30/2019 2:16,,6/30/2019 2:16,,,aquaticinvertebratesdata_3
{9BD07C08-C75B-4525-8B72-9B1FB5DEEB1E},,,Libellulidae,9,,,Greater than 10. Sample taken,{F5A4BC1D-0264-47A9-BF2A-E838FFC093A0},6/30/2019 2:16,,6/30/2019 2:16,,,aquaticinvertebratesdata_3
{7B70A14A-6C01-409C-9E83-DAFA481DA2E6},,,Snail,9,,,Greater than 10. Unknown id. Sample taken,{F5A4BC1D-0264-47A9-BF2A-E838FFC093A0},6/30/2019 2:16,,6/30/2019 2:16,,,aquaticinvertebratesdata_3
{06C9C46A-0B6D-43B1-B1A0-521E655B5DCA},,,Tabanidae,1,,,,{F5A4BC1D-0264-47A9-BF2A-E838FFC093A0},6/30/2019 2:16,,6/30/2019 2:16,,,aquaticinvertebratesdata_3
{328DFAD6-BD50-48C1-89BA-E06177985B5C},,,Dytiscidae,1,,,Sample taken,{F5A4BC1D-0264-47A9-BF2A-E838FFC093A0},6/30/2019 2:16,,6/30/2019 2:16,,,aquaticinvertebratesdata_3
{B3F82DE8-9F87-4821-AE9C-514D141E10CD},,,Trichoptera,1,,,Either silky case or pupating,{F5A4BC1D-0264-47A9-BF2A-E838FFC093A0},6/30/2019 2:16,,6/30/2019 2:16,,,aquaticinvertebratesdata_3
{82709110-B99D-4A8A-A2DA-1F9F013B062C},,,Hydropsychidae,4,,perennialindicator,,{1EA475D3-3DE8-4D02-BABB-807C24F4DC57},6/30/2019 2:31,,6/30/2019 2:31,,,aquaticinvertebratesdata_3
{9BBEFC85-946D-4D5C-9234-22516DEFC8C9},,,Dytiscidae,4,,,Sample taken,{1EA475D3-3DE8-4D02-BABB-807C24F4DC57},6/30/2019 2:31,,6/30/2019 2:31,,,aquaticinvertebratesdata_3
{BEDE5BEF-6CD1-4575-BCD6-4A48E156BA12},,,Helicopsychidae,9,,,Greater than 10.,{1EA475D3-3DE8-4D02-BABB-807C24F4DC57},6/30/2019 2:31,,6/30/2019 2:31,,,aquaticinvertebratesdata_3
{0CC15601-B7A3-4569-92CC-EA23A91DC21E},,,Elmidae,9,,,Greater than 10. Sample adult,{1EA475D3-3DE8-4D02-BABB-807C24F4DC57},6/30/2019 2:31,,6/30/2019 2:31,,,aquaticinvertebratesdata_3
{F798C912-9CDD-421A-BCD9-5CDEE83063DE},,,Leptohyphidae,9,,mayfly,Greater than 10,{1EA475D3-3DE8-4D02-BABB-807C24F4DC57},6/30/2019 2:31,,6/30/2019 2:31,,,aquaticinvertebratesdata_3
{FACE313A-4265-49FC-8BE9-139B19BA44B3},,,Calopterygidae,9,,perennialindicator,Greater than 10. Most abundant sample,{1EA475D3-3DE8-4D02-BABB-807C24F4DC57},6/30/2019 2:31,,6/30/2019 2:31,,,aquaticinvertebratesdata_3
{4CFAFC2C-2EE1-4456-92EC-1BB027139FB6},,,Coenagrionidae,2,,,,{1EA475D3-3DE8-4D02-BABB-807C24F4DC57},6/30/2019 2:31,,6/30/2019 2:31,,,aquaticinvertebratesdata_3
{AC26C887-9999-4D1E-B380-5BDEFCA30C19},,,Simuliidae,9,,,Greater than 10,{1EA475D3-3DE8-4D02-BABB-807C24F4DC57},6/30/2019 2:31,,6/30/2019 2:31,,,aquaticinvertebratesdata_3
{02DD6C24-9226-4135-A61B-8ACD4E90EE6B},,,Baetidae,9,,mayfly,Greater than 10. Small sample taken,{1EA475D3-3DE8-4D02-BABB-807C24F4DC57},6/30/2019 2:31,,6/30/2019 2:31,,,aquaticinvertebratesdata_3
{09617ECB-54BC-4EE4-8595-A26AD29B969D},,,Snail,3,,,,{1EA475D3-3DE8-4D02-BABB-807C24F4DC57},6/30/2019 2:31,,6/30/2019 2:31,,,aquaticinvertebratesdata_3
{555BEED2-1EEE-4102-BD83-7EE796E4BC92},,,Hydrophilidae,3,,,Sample taken,{1EA475D3-3DE8-4D02-BABB-807C24F4DC57},6/30/2019 2:31,,6/30/2019 2:31,,,aquaticinvertebratesdata_3
{5785C29B-2117-4DA2-90A2-423A15B9079F},,,Acariformes,9,,,Greater than 10.,{1EA475D3-3DE8-4D02-BABB-807C24F4DC57},6/30/2019 2:31,,6/30/2019 2:31,,,aquaticinvertebratesdata_3
{C0C6F8BE-357A-42E3-9FA8-FD25D480DE1C},,,Gerridae,9,,,"Greater than 10. Seen, not sampled",{1EA475D3-3DE8-4D02-BABB-807C24F4DC57},6/30/2019 2:31,,6/30/2019 2:31,,,aquaticinvertebratesdata_3
{84154CC3-E5D9-4954-8C3B-45815FB0CA26},,,Baetidae,9,,mayfly,Greater than 10,{8DDA4AE4-81E4-4E55-B9D6-A7EC9495A960},6/30/2019 2:37,,6/30/2019 2:37,,,aquaticinvertebratesdata_3
{08FB20F1-72D8-4A84-AE12-CE5DF955A66E},,,Hydrophilidae,9,,,Greater than 10. 3 larvae. Sample taken,{8DDA4AE4-81E4-4E55-B9D6-A7EC9495A960},6/30/2019 2:37,,6/30/2019 2:37,,,aquaticinvertebratesdata_3
{58FD0BC7-1EA5-4A71-AB2C-975BC1840A97},,,Dytiscidae,9,,,Greater than 10. ID needed,{8DDA4AE4-81E4-4E55-B9D6-A7EC9495A960},6/30/2019 2:37,,6/30/2019 2:37,,,aquaticinvertebratesdata_3
{50DDB30D-0659-4672-9D17-45ECFAD762F4},,,Snail,9,,,Greater than 10,{8DDA4AE4-81E4-4E55-B9D6-A7EC9495A960},6/30/2019 2:37,,6/30/2019 2:37,,,aquaticinvertebratesdata_3
{0D16F88B-3440-4B44-B791-05FCBF63B1BF},,,Aegmidae,2,,,,{8DDA4AE4-81E4-4E55-B9D6-A7EC9495A960},6/30/2019 2:37,,6/30/2019 2:37,,,aquaticinvertebratesdata_3
{E98DBF13-859E-41BD-AA9E-C245971A5091},,,Veliidae,3,,,,{8DDA4AE4-81E4-4E55-B9D6-A7EC9495A960},6/30/2019 2:37,,6/30/2019 2:37,,,aquaticinvertebratesdata_3
{6104C570-3814-4B3C-80AF-6AFF042B5F9D},,,Gyrinidae,2,,,Seen not sampled,{8DDA4AE4-81E4-4E55-B9D6-A7EC9495A960},6/30/2019 2:37,,6/30/2019 2:37,,,aquaticinvertebratesdata_3
{C4F2E64B-B31A-4831-B6E1-F723323EF49E},,,Coleoptera,1,,,Unknown family. Sample taken,{8DDA4AE4-81E4-4E55-B9D6-A7EC9495A960},6/30/2019 2:37,,6/30/2019 2:37,,,aquaticinvertebratesdata_3
{B8B0FEA7-078C-478F-883E-6F7C5AC5490A},,,Dytiscidae,9,,, More than 10,{A8040277-D9A6-464C-8AA1-A116ED2FC39C},7/29/2019 21:02,raphaelmazor,7/29/2019 21:02,raphaelmazor,,aquaticinvertebratesdata_3
{352D3B6F-A00F-479F-869D-8087AE2631B1},,,Large dytiscid,1,,,,{A8040277-D9A6-464C-8AA1-A116ED2FC39C},7/29/2019 21:02,raphaelmazor,7/29/2019 21:02,raphaelmazor,,aquaticinvertebratesdata_3
{4538607B-37D6-4DB9-8B21-E7D366521795},,,Putative caddis,1,,, Definitely not a perennial indicator family,{A8040277-D9A6-464C-8AA1-A116ED2FC39C},7/29/2019 21:02,raphaelmazor,7/29/2019 21:02,raphaelmazor,,aquaticinvertebratesdata_3
{DA4EABCB-351B-4A88-8A77-214A5E0BD642},,,Small dytiscidae,9,,, More than 10 individuals,{3913632E-4F21-4217-8FDC-5293276BB2AF},7/30/2019 22:21,raphaelmazor,7/30/2019 22:21,raphaelmazor,,aquaticinvertebratesdata_3
{0B44FA3E-3A6C-4ADE-8ED7-EC9F88087199},,,Large dystiscidae,1,,,,{3913632E-4F21-4217-8FDC-5293276BB2AF},7/30/2019 22:21,raphaelmazor,7/30/2019 22:21,raphaelmazor,,aquaticinvertebratesdata_3
{18218BDD-C982-4EB3-8270-9E67653ADC9D},,,"Caddis pupa, possibly",1,,, Not sure if this is a pupal case. Definitely not one of the perennial indicator families,{3913632E-4F21-4217-8FDC-5293276BB2AF},7/30/2019 22:21,raphaelmazor,7/30/2019 22:21,raphaelmazor,,aquaticinvertebratesdata_3
{67E67A2E-CD45-43EF-896A-9447AF870DD7},,,Baetis adonis,10,,mayfly,ID from ABL,{9076BD8E-DCDC-45DE-8457-1211F00126D1},6/26/2019 23:46,,7/24/2019 21:09,raphaelmazor,,aquaticinvertebratesdata_4
{76C018A0-84FB-42BB-802B-2384A43EF221},,,Leptohyphidae,10,,mayfly," Definitely a mayfly, but not 100% confident about family. Update-not present in ABL sample.",{9076BD8E-DCDC-45DE-8457-1211F00126D1},6/26/2019 23:46,,7/24/2019 21:09,raphaelmazor,,aquaticinvertebratesdata_4
{5E752D94-3E87-4989-8CF0-B0B84B503092},,,Simulium,10,,, The most abundant bug in the stream. ID from ABL.,{9076BD8E-DCDC-45DE-8457-1211F00126D1},6/26/2019 23:46,,7/24/2019 21:09,raphaelmazor,,aquaticinvertebratesdata_4
{B0F36B8E-63A2-4B30-869B-306BF44904E2},,,Thienemannimyia group,1,,,ID from ABL.,{9076BD8E-DCDC-45DE-8457-1211F00126D1},6/26/2019 23:46,,7/24/2019 21:10,raphaelmazor,,aquaticinvertebratesdata_4
{21DC6E66-8219-42AF-8A0B-56D375B9E27B},,,Muscidae,1,,,ID from ABL. Field ID was incorrect (Ephydridae),{9076BD8E-DCDC-45DE-8457-1211F00126D1},6/26/2019 23:46,,7/24/2019 21:10,raphaelmazor,,aquaticinvertebratesdata_4
{461C35F3-7581-468C-8C59-751F90F02AB2},,,Agabus,1,,,ID from ABL.,{9076BD8E-DCDC-45DE-8457-1211F00126D1},6/26/2019 23:46,,7/24/2019 21:10,raphaelmazor,,aquaticinvertebratesdata_4
{CC64A10C-75F7-4C7B-8999-660010C23FB9},,,Baetidae,10,,mayfly,,{D03B5D74-2808-4E12-8915-956250367862},6/28/2019 23:30,raphaelmazor,6/28/2019 23:30,raphaelmazor,,aquaticinvertebratesdata_4
{F9BCEAA1-8FBF-4ECD-89EB-7BFF1B01AC3A},,,Corydalidae (O-D group),1,,perennialindicator,,{D03B5D74-2808-4E12-8915-956250367862},6/28/2019 23:30,raphaelmazor,6/28/2019 23:30,raphaelmazor,,aquaticinvertebratesdata_4
{8C11783D-05E7-4725-8572-1F9956212E2D},,,Corydalidae (N-P),1,,perennialindicator,,{D03B5D74-2808-4E12-8915-956250367862},6/28/2019 23:30,raphaelmazor,6/28/2019 23:30,raphaelmazor,,aquaticinvertebratesdata_4
{A3A76D61-CF7A-4E75-8C25-6061AE54827A},,,Dytiscidae,1,,,,{D03B5D74-2808-4E12-8915-956250367862},6/28/2019 23:30,raphaelmazor,6/28/2019 23:30,raphaelmazor,,aquaticinvertebratesdata_4
{39771996-E679-48E2-86CC-BB53932C2C07},,,Simuliidae,10,,,,{D03B5D74-2808-4E12-8915-956250367862},6/28/2019 23:30,raphaelmazor,6/28/2019 23:30,raphaelmazor,,aquaticinvertebratesdata_4
{D001126B-4012-4E06-89F5-2E93C03EB6B3},,,Chironomidae,8,,,,{D03B5D74-2808-4E12-8915-956250367862},6/28/2019 23:30,raphaelmazor,6/28/2019 23:30,raphaelmazor,,aquaticinvertebratesdata_4
{BD75DF49-997B-41C8-8047-858843684E74},,,Blephariceridae,10,,,,{D03B5D74-2808-4E12-8915-956250367862},6/28/2019 23:30,raphaelmazor,6/28/2019 23:30,raphaelmazor,,aquaticinvertebratesdata_4
{C129F2C4-6AA0-45D1-8BFB-9240FB5F4A34},,,Rhyacophilidae,3,,perennialindicator, Pupae only,{D03B5D74-2808-4E12-8915-956250367862},6/28/2019 23:30,raphaelmazor,6/28/2019 23:30,raphaelmazor,,aquaticinvertebratesdata_4
{0625D2ED-B0C8-4A9B-827C-8F49C7BAC6CA},,,Plecoptera,2,,,Probably Leuctridae,{D03B5D74-2808-4E12-8915-956250367862},6/28/2019 23:30,raphaelmazor,6/28/2019 23:30,raphaelmazor,,aquaticinvertebratesdata_4
{E7203B48-E116-46F6-829C-8589FBE31BB0},,,Rhyacophila rayneri,10,,perennialindicator,"ID From ABL. Originally mis-IDed as Hydropsychidae, and mis-entered as Hydrophilidae.",{C4B26978-8955-4CB6-8D75-80412FBE9D97},6/28/2019 23:53,raphaelmazor,7/24/2019 21:12,raphaelmazor,,aquaticinvertebratesdata_4
{DED23DCF-A3D4-410D-8389-14BD54D081A9},,,Gerridae,10,,,,{C4B26978-8955-4CB6-8D75-80412FBE9D97},6/28/2019 23:53,raphaelmazor,6/28/2019 23:53,raphaelmazor,,aquaticinvertebratesdata_4
{F21B170A-B830-443D-8F09-D5CA74A792C7},,,Tipulidae,10,,, Swarming adults,{C4B26978-8955-4CB6-8D75-80412FBE9D97},6/28/2019 23:53,raphaelmazor,6/28/2019 23:53,raphaelmazor,,aquaticinvertebratesdata_4
{DC45020F-3BF2-4726-8798-F640F2CAEA1D},,,Neohermes,1,,perennialindicator,ID from ABL,{C4B26978-8955-4CB6-8D75-80412FBE9D97},6/28/2019 23:53,raphaelmazor,7/24/2019 21:13,raphaelmazor,,aquaticinvertebratesdata_4
